latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
58.2743,-117.2313,317.9,4.5,2,2019-05-17,2149,Aqua,MODIS,69,6.3,289,125.5,D,0
58.276,-117.2278,314.5,4.5,2,2019-05-17,2149,Aqua,MODIS,61,6.3,289,97.4,D,0
58.275,-117.3089,362.9,4.5,1.9,2019-05-17,2149,Aqua,MODIS,100,6.3,292.3,809.8,D,0
58.2764,-117.3055,365.6,4.5,1.9,2019-05-17,2149,Aqua,MODIS,100,6.3,292.3,877,D,0
58.2838,-117.3181,315.4,1.8,1.3,2019-05-18,0939,Aqua,MODIS,75,6.3,271.9,36.9,N,0
58.2858,-117.3485,319.9,1.8,1.3,2019-05-18,0939,Aqua,MODIS,76,6.3,271.5,45.1,N,0
58.2817,-117.2878,306.2,1.8,1.3,2019-05-18,0939,Aqua,MODIS,19,6.3,269.6,21.8,N,0
58.3229,-117.4202,393.5,1,1,2019-05-18,1904,Terra,MODIS,94,6.3,274.5,224.8,D,0
58.3072,-117.4458,324.3,1,1,2019-05-18,1904,Terra,MODIS,66,6.3,272.5,15,D,0
58.3162,-117.4417,370.7,1,1,2019-05-18,1904,Terra,MODIS,100,6.3,272.7,116.2,D,0
58.3184,-117.4592,341.6,1,1,2019-05-18,1904,Terra,MODIS,80,6.3,269.3,37.5,D,0
58.3251,-117.4376,413.9,1,1,2019-05-18,1904,Terra,MODIS,87,6.3,274.9,362.9,D,0
58.3274,-117.4551,426.1,1,1,2019-05-18,1904,Terra,MODIS,0,6.3,274.9,469.2,D,0
58.3296,-117.3987,500,1,1,2019-05-18,1904,Terra,MODIS,100,6.3,337,1700,D,0
58.3386,-117.3946,356.2,1,1,2019-05-18,1904,Terra,MODIS,74,6.3,273.6,76.1,D,0
58.3363,-117.3772,341.2,1,1,2019-05-18,1904,Terra,MODIS,0,6.3,268.5,42.6,D,0
58.3273,-117.3813,452.3,1,1,2019-05-18,1904,Terra,MODIS,87,6.3,298.3,780.1,D,0
58.269,-117.2978,389.2,1,1,2019-05-18,1904,Terra,MODIS,100,6.3,292.5,197.2,D,0
58.2712,-117.3151,370.1,1,1,2019-05-18,1904,Terra,MODIS,87,6.3,277.9,115.3,D,0
58.2802,-117.311,338.9,1,1,2019-05-18,1904,Terra,MODIS,65,6.3,270.3,33.7,D,0
58.2958,-117.2854,327.5,1,1,2019-05-18,1904,Terra,MODIS,51,6.3,269.5,20.7,D,0
58.3116,-117.4069,347.7,1,1,2019-05-18,1904,Terra,MODIS,79,6.3,270.7,53.5,D,0
58.2892,-117.3804,346.6,1,1,2019-05-18,1904,Terra,MODIS,0,6.3,269.3,52,D,0
58.3049,-117.4284,328.6,1,1,2019-05-18,1904,Terra,MODIS,47,6.3,269.6,18.5,D,0
58.2891,-117.3069,326.7,1,1,2019-05-18,1904,Terra,MODIS,45,6.3,271.3,18,D,0
58.2981,-117.3027,359,1,1,2019-05-18,1904,Terra,MODIS,75,6.3,270.9,80.8,D,0
58.3003,-117.3201,377.5,1,1,2019-05-18,1904,Terra,MODIS,0,6.3,268.7,143.6,D,0
58.3093,-117.3159,396.5,1,1,2019-05-18,1904,Terra,MODIS,0,6.3,269.8,240.3,D,0
58.3318,-117.4161,456.6,1,1,2019-05-18,1904,Terra,MODIS,87,6.3,285.8,845.5,D,0
58.3408,-117.412,351.7,1,1,2019-05-18,1904,Terra,MODIS,0,6.3,266.3,65.1,D,0
58.2645,-117.3366,310,1,1,2019-05-18,1904,Terra,MODIS,54,6.3,272.4,5,D,0
58.3206,-117.4028,440.6,1,1,2019-05-18,1904,Terra,MODIS,100,6.3,292.5,628.1,D,0
58.3184,-117.3854,431.1,1,1,2019-05-18,1904,Terra,MODIS,87,6.3,295.9,520.8,D,0
58.3094,-117.3895,362.2,1,1,2019-05-18,1904,Terra,MODIS,0,6.3,270.5,91.2,D,0
58.3161,-117.368,369.9,1,1,2019-05-18,1904,Terra,MODIS,0,6.3,273.5,116.4,D,0
58.3139,-117.4243,349.8,1,1,2019-05-18,1904,Terra,MODIS,90,6.3,270.3,54.9,D,0
58.2667,-117.2805,348.6,1,1,2019-05-18,1904,Terra,MODIS,90,6.3,289.6,55.6,D,0
58.2801,-117.2377,391.3,1,1,2019-05-18,1904,Terra,MODIS,100,6.3,289.9,209.7,D,0
