latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
56.674,-111.4352,305,3.9,1.8,2016-05-02,0351,Terra,MODIS,33,6.2,285.9,53.5,N,0
56.66,-111.4187,303.6,3.9,1.8,2016-05-02,0351,Terra,MODIS,19,6.2,286.7,49,N,0
56.6599,-111.3877,309.3,1.3,1.1,2016-05-02,0529,Terra,MODIS,17,6.2,285.4,15.9,N,0
56.6661,-111.4789,369,1.1,1,2016-05-02,1858,Terra,MODIS,100,6.2,300.2,118.6,D,0
56.6721,-111.4569,369.1,1.1,1,2016-05-02,1858,Terra,MODIS,100,6.2,299.8,118.2,D,0
56.6692,-111.44,342.3,1.1,1,2016-05-02,1858,Terra,MODIS,92,6.2,301.2,44.6,D,0
56.6632,-111.462,373.3,1.1,1,2016-05-02,1858,Terra,MODIS,100,6.2,299.7,134.4,D,0
56.6508,-111.5173,325.9,3,1.6,2016-05-02,1909,Aqua,MODIS,71,6.2,289.5,94.6,D,0
56.6504,-111.4584,342.8,3,1.6,2016-05-02,1909,Aqua,MODIS,93,6.2,292.1,210.8,D,0
56.6504,-111.4616,346.5,3,1.6,2016-05-02,1909,Aqua,MODIS,94,6.2,292.3,248.3,D,0
56.6509,-111.5143,332.3,3,1.6,2016-05-02,1909,Aqua,MODIS,86,6.2,289.3,131.9,D,0
56.6632,-111.4717,382.2,3,1.6,2016-05-02,1909,Aqua,MODIS,100,6.2,294.4,765.1,D,0
56.6757,-111.4325,319,2.9,1.6,2016-05-02,1909,Aqua,MODIS,70,6.2,290.9,60.8,D,0
56.6633,-111.4748,379.2,3,1.6,2016-05-02,1909,Aqua,MODIS,100,6.2,294.5,708.7,D,0
56.6444,-111.4654,333.1,1.7,1.3,2016-05-02,2047,Aqua,MODIS,80,6.2,292.4,57.4,D,0
56.6675,-111.4705,322.4,1.7,1.3,2016-05-02,2047,Aqua,MODIS,51,6.2,292.3,31.5,D,0
56.654,-111.4957,407,1.7,1.3,2016-05-02,2047,Aqua,MODIS,100,6.2,304.6,639.4,D,0
56.6424,-111.4933,365.4,1.7,1.3,2016-05-02,2047,Aqua,MODIS,100,6.2,299.9,208.3,D,0
56.6655,-111.4986,337.4,1.7,1.3,2016-05-02,2047,Aqua,MODIS,74,6.2,296.3,72.1,D,0
56.6679,-111.4974,335.2,1.5,1.2,2016-05-03,0434,Terra,MODIS,100,6.2,291.1,63.1,N,0
56.6728,-111.4745,316.1,1.5,1.2,2016-05-03,0434,Terra,MODIS,20,6.2,287.7,22.6,N,0
56.6726,-111.4219,309.4,1.5,1.2,2016-05-03,0434,Terra,MODIS,74,6.2,286.2,17.9,N,0
56.6666,-111.5029,301.1,3.7,1.8,2016-05-03,0612,Terra,MODIS,29,6.2,285.6,38,N,0
56.6685,-111.4655,315.3,2,1.4,2016-05-03,1803,Terra,MODIS,52,6.2,292.9,26.6,D,0
56.6711,-111.4521,369.6,2.5,1.5,2016-05-03,1941,Terra,MODIS,65,6.2,283.8,423.1,D,0
56.6587,-111.4636,338.1,2.5,1.5,2016-05-03,1941,Terra,MODIS,26,6.2,282.7,113.3,D,0
56.6877,-111.4871,386.3,2.5,1.5,2016-05-03,1941,Terra,MODIS,0,6.2,285.3,666.9,D,0
56.6654,-111.4622,351.1,2.5,1.5,2016-05-03,1941,Terra,MODIS,79,6.2,284.3,225.3,D,0
56.6835,-111.5845,360,2.5,1.5,2016-05-03,1941,Terra,MODIS,0,6.2,276.6,311.4,D,0
56.6792,-111.5737,415.8,1.2,1.1,2016-05-03,1952,Aqua,MODIS,0,6.2,293.7,454.2,D,0
56.6544,-111.4691,331.2,1.2,1.1,2016-05-03,1952,Aqua,MODIS,65,6.2,280.1,28,D,0
56.6606,-111.5625,336.9,1.2,1.1,2016-05-03,1952,Aqua,MODIS,27,6.2,280.9,41.2,D,0
56.6711,-111.5072,352.9,1.2,1.1,2016-05-03,1952,Aqua,MODIS,63,6.2,281.4,82,D,0
56.6746,-111.4887,365.7,1.2,1.1,2016-05-03,1952,Aqua,MODIS,0,6.2,285.3,125,D,0
56.685,-111.5979,313.3,1.2,1.1,2016-05-03,1952,Aqua,MODIS,42,6.2,287.6,8.5,D,0
56.6654,-111.4828,347.3,1.2,1.1,2016-05-03,1952,Aqua,MODIS,76,6.2,285.2,66.6,D,0
56.6636,-111.4749,341.2,1.2,1.1,2016-05-03,1952,Aqua,MODIS,80,6.2,283.2,43.2,D,0
56.6578,-111.4508,351.7,1.2,1.1,2016-05-03,1952,Aqua,MODIS,73,6.2,277.7,75.3,D,0
56.6885,-111.5795,367.1,1.2,1.1,2016-05-03,1952,Aqua,MODIS,94,6.2,284.5,131.5,D,0
56.6757,-111.5921,382.3,1.2,1.1,2016-05-03,1952,Aqua,MODIS,75,6.2,296.4,200.5,D,0
56.692,-111.5611,328.9,1.2,1.1,2016-05-03,1952,Aqua,MODIS,73,6.2,278.1,30.1,D,0
56.7094,-111.5561,304.6,1.1,1,2016-05-04,0517,Terra,MODIS,33,6.2,287.5,7.3,N,0
56.7115,-111.539,306.8,1.1,1,2016-05-04,0517,Terra,MODIS,69,6.2,288.7,9.5,N,0
56.7198,-111.4704,328.3,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,293.1,28.8,N,0
56.7123,-111.4786,327.8,1.1,1,2016-05-04,0517,Terra,MODIS,98,6.2,290.8,23.7,N,0
56.7144,-111.4613,333.2,1.1,1,2016-05-04,0517,Terra,MODIS,96,6.2,293,31.7,N,0
56.6969,-111.5263,337.1,1.1,1,2016-05-04,0517,Terra,MODIS,77,6.2,289.9,38.5,N,0
56.699,-111.5091,358.2,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,293.8,84.4,N,0
56.7611,-111.5234,399.8,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,307.4,273,N,0
56.6815,-111.5738,302.9,1.1,1,2016-05-04,0517,Terra,MODIS,6,6.2,288.5,6,N,0
56.7562,-111.4853,410.8,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,310.1,353.3,N,0
56.7583,-111.4681,320.7,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,293.6,18.2,N,0
56.7429,-111.5159,332.1,1.1,1,2016-05-04,0517,Terra,MODIS,98,6.2,293.3,31.5,N,0
56.745,-111.4987,368.6,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,295.8,119.1,N,0
56.7471,-111.4815,356.4,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,293.3,81.9,N,0
56.7338,-111.5122,328.8,1.1,1,2016-05-04,0517,Terra,MODIS,88,6.2,292.6,28.4,N,0
56.7364,-111.3325,306.6,1.1,1,2016-05-04,0517,Terra,MODIS,69,6.2,290.1,9.2,N,0
56.7384,-111.3152,326.3,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,291,28.4,N,0
56.7313,-111.3237,382.7,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,296.6,181.7,N,0
56.7334,-111.3064,361.8,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,293.3,101.1,N,0
56.7138,-111.3887,397.4,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,300.1,258.8,N,0
56.7159,-111.3714,409.8,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,303,347,N,0
56.7221,-111.32,357.3,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,295.3,86.3,N,0
56.7242,-111.3027,345.1,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,293.1,58,N,0
56.7046,-111.385,371.7,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,297.6,129.3,N,0
56.7067,-111.3677,364.5,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,299.1,103.2,N,0
56.7109,-111.3331,328,1.1,1,2016-05-04,0517,Terra,MODIS,51,6.2,291.1,25.9,N,0
56.713,-111.3162,412.4,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,303.1,373,N,0
56.7151,-111.299,308.2,1.1,1,2016-05-04,0517,Terra,MODIS,74,6.2,289.6,10.1,N,0
56.6976,-111.3642,365.3,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,297.5,108,N,0
56.6997,-111.3468,344.8,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,294.9,53.3,N,0
56.7018,-111.3294,335.2,1.1,1,2016-05-04,0517,Terra,MODIS,95,6.2,292.7,37.4,N,0
56.7039,-111.3123,374.9,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,299.8,145.8,N,0
56.7059,-111.2953,339.5,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,290.4,46.8,N,0
56.6885,-111.3605,328.5,1.1,1,2016-05-04,0517,Terra,MODIS,74,6.2,291.9,25.1,N,0
56.7702,-111.5271,345.6,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,293.6,56.5,N,0
56.7723,-111.5099,443.3,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,314.6,687.4,N,0
56.7745,-111.4927,397.4,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,300.7,260.2,N,0
56.759,-111.5406,327.4,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,291.8,26.4,N,0
56.7632,-111.5062,420.1,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,316.4,432.1,N,0
56.7653,-111.489,455.6,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,318.3,862.5,N,0
56.7674,-111.4718,384.6,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,299,188.9,N,0
56.7499,-111.5369,328.3,1.1,1,2016-05-04,0517,Terra,MODIS,97,6.2,292.7,27.5,N,0
56.752,-111.5197,380.7,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,302.9,169.2,N,0
56.7541,-111.5025,398.8,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,306.8,267.6,N,0
56.6948,-111.3084,323.3,1.1,1,2016-05-04,0517,Terra,MODIS,43,6.2,289.9,21.6,N,0
56.7359,-111.495,324.4,1.1,1,2016-05-04,0517,Terra,MODIS,94,6.2,293,22.8,N,0
56.7206,-111.5427,318,1.1,1,2016-05-04,0517,Terra,MODIS,33,6.2,289.4,16.5,N,0
56.7289,-111.4741,335,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,292.6,38.8,N,0
56.7096,-111.4231,318.3,1.1,1,2016-05-04,0517,Terra,MODIS,53,6.2,292.3,13,N,0
56.7219,-111.4531,318.2,1.1,1,2016-05-04,0517,Terra,MODIS,91,6.2,292,17,N,0
56.6878,-111.5225,332.9,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,291.7,33.6,N,0
56.6857,-111.5396,323.1,1.1,1,2016-05-04,0517,Terra,MODIS,100,6.2,289.6,22.2,N,0
56.6836,-111.5567,307.2,1.1,1,2016-05-04,0517,Terra,MODIS,12,6.2,288.8,8.1,N,0
56.7769,-111.4899,315.7,1.5,1.2,2016-05-04,0921,Aqua,MODIS,35,6.2,275.8,28.1,N,0
56.7858,-111.4626,309.8,1.5,1.2,2016-05-04,0921,Aqua,MODIS,78,6.2,276.1,23.2,N,0
56.7878,-111.487,307.8,1.5,1.2,2016-05-04,0921,Aqua,MODIS,73,6.2,272.5,21,N,0
56.7098,-111.3673,333.2,1.5,1.2,2016-05-04,0921,Aqua,MODIS,100,6.2,285.1,55.5,N,0
56.785,-111.4702,325,1.5,1.2,2016-05-04,0921,Aqua,MODIS,70,6.2,275,43.9,N,0
56.7416,-111.4818,302.6,1.5,1.2,2016-05-04,0921,Aqua,MODIS,9,6.2,274.9,11.2,N,0
56.7741,-111.4731,319.9,1.5,1.2,2016-05-04,0921,Aqua,MODIS,31,6.2,276.6,33.4,N,0
56.7042,-111.3385,307.9,3.4,1.7,2016-05-04,1059,Aqua,MODIS,55,6.2,282.6,58.3,N,0
56.6369,-111.5083,384.8,1,1,2016-05-04,1846,Terra,MODIS,100,6.2,296.3,165.3,D,0
56.6479,-111.3943,332.9,1,1,2016-05-04,1846,Terra,MODIS,48,6.2,275.9,21.8,D,0
56.6543,-111.3742,374.7,1,1,2016-05-04,1846,Terra,MODIS,87,6.2,278.3,123.2,D,0
56.6735,-111.3139,345.6,1,1,2016-05-04,1846,Terra,MODIS,64,6.2,282.6,44.8,D,0
56.6758,-111.3298,385.4,1,1,2016-05-04,1846,Terra,MODIS,94,6.2,281.9,167.5,D,0
56.6846,-111.3255,352.6,1,1,2016-05-04,1846,Terra,MODIS,96,6.2,281.4,58.7,D,0
56.691,-111.3054,366.7,1,1,2016-05-04,1846,Terra,MODIS,92,6.2,283.1,95.7,D,0
56.6973,-111.2852,396.7,1,1,2016-05-04,1846,Terra,MODIS,87,6.2,291.3,226.3,D,0
56.6997,-111.3011,438.3,1,1,2016-05-04,1846,Terra,MODIS,94,6.2,303,561.2,D,0
56.7021,-111.317,351.5,1,1,2016-05-04,1846,Terra,MODIS,91,6.2,281.7,55,D,0
56.7045,-111.3329,355.6,1,1,2016-05-04,1846,Terra,MODIS,85,6.2,277.5,63.4,D,0
56.7061,-111.281,363.9,1,1,2016-05-04,1846,Terra,MODIS,82,6.2,285.3,89.7,D,0
56.7084,-111.2969,375.2,1,1,2016-05-04,1846,Terra,MODIS,75,6.2,286.5,126.4,D,0
56.7199,-111.5639,348.8,1,1,2016-05-04,1846,Terra,MODIS,95,6.2,295.6,53.5,D,0
56.7112,-111.5681,328.6,1,1,2016-05-04,1846,Terra,MODIS,78,6.2,292.6,21,D,0
56.7176,-111.548,353.4,1,1,2016-05-04,1846,Terra,MODIS,97,6.2,295.6,61.9,D,0
56.6661,-111.4536,319.2,1,1,2016-05-04,1846,Terra,MODIS,48,6.2,268.4,7.9,D,0
56.6638,-111.4377,356.7,1,1,2016-05-04,1846,Terra,MODIS,74,6.2,270.6,67.6,D,0
56.655,-111.4419,500,1,1,2016-05-04,1846,Terra,MODIS,94,6.2,310.1,1593,D,0
56.6527,-111.4261,500,1,1,2016-05-04,1846,Terra,MODIS,87,6.2,314.1,1591.9,D,0
56.6503,-111.4102,400.7,1,1,2016-05-04,1846,Terra,MODIS,87,6.2,281.1,244.4,D,0
56.6474,-111.4523,358.5,1,1,2016-05-04,1846,Terra,MODIS,65,6.2,281.1,69.9,D,0
56.645,-111.4364,389.9,1,1,2016-05-04,1846,Terra,MODIS,65,6.2,291.1,185.7,D,0
56.6426,-111.4206,370.6,1,1,2016-05-04,1846,Terra,MODIS,65,6.2,284.6,107.8,D,0
56.6346,-111.4925,389.7,1,1,2016-05-04,1846,Terra,MODIS,100,6.2,298.3,187.2,D,0
56.7088,-111.5522,347.1,1,1,2016-05-04,1846,Terra,MODIS,94,6.2,296.1,48.7,D,0
56.6393,-111.5242,358.1,1,1,2016-05-04,1846,Terra,MODIS,99,6.2,282.9,73.6,D,0
56.6433,-111.4882,338.4,1,1,2016-05-04,1846,Terra,MODIS,68,6.2,287.8,30.3,D,0
56.6574,-111.4578,356.9,1,1,2016-05-04,1846,Terra,MODIS,98,6.2,272.6,67.2,D,0
56.6866,-111.5288,326.3,1,1,2016-05-04,1846,Terra,MODIS,0,6.2,277.8,14.5,D,0
56.7148,-111.328,307.8,3.8,1.8,2016-05-04,1857,Aqua,MODIS,0,6.2,276,40.1,D,0
56.7006,-111.3129,331.6,3.8,1.8,2016-05-04,1857,Aqua,MODIS,20,6.2,286,188.6,D,0
56.6396,-111.4293,387.1,1.3,1.1,2016-05-04,2035,Aqua,MODIS,100,6.2,313,258.4,D,0
56.6457,-111.5833,323.5,1.3,1.1,2016-05-04,2035,Aqua,MODIS,37,6.2,303.5,17.7,D,0
56.6477,-111.5623,348.1,1.3,1.1,2016-05-04,2035,Aqua,MODIS,89,6.2,304.4,68.8,D,0
56.6457,-111.4748,404.3,1.3,1.1,2016-05-04,2035,Aqua,MODIS,100,6.2,319.9,391.2,D,0
