latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
59.5349,-109.841,305.2,1.3,1.1,2011-06-15,0925,Aqua,MODIS,14,6.2,273.7,12,N,0
59.5416,-109.831,354.9,1.3,1.1,2011-06-15,0925,Aqua,MODIS,100,6.2,279.5,103.2,N,0
59.5449,-109.8372,340.2,1.3,1.1,2011-06-15,0925,Aqua,MODIS,100,6.2,282.3,63.9,N,0
59.5538,-109.8498,437.6,1.3,1.1,2011-06-15,0925,Aqua,MODIS,100,6.2,294.4,816.3,N,0
59.5477,-109.8305,363.6,3.2,1.7,2011-06-15,1103,Aqua,MODIS,100,6.2,284.7,540,N,0
59.5674,-109.8831,334,3.2,1.7,2011-06-15,1103,Aqua,MODIS,100,6.2,278,205,N,0
59.5633,-109.8791,340.2,3.2,1.7,2011-06-15,1103,Aqua,MODIS,100,6.2,277.8,252.3,N,0
59.552,-109.8343,368.5,3.2,1.7,2011-06-15,1103,Aqua,MODIS,100,6.2,285.8,628.1,N,0
59.9516,-110.404,301.9,1,1,2011-06-15,1850,Terra,MODIS,0,6.2,278.2,4.4,D,0
59.4978,-109.9237,406.2,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,282.6,413.3,N,0
59.5197,-109.8687,333.6,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,273,44.8,N,0
59.5704,-109.939,339.1,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,273.4,54.5,N,0
59.5479,-109.8907,335.8,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,281.2,48,N,0
59.503,-109.9518,382.7,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,274.1,232.2,N,0
59.562,-109.9808,358.9,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,274,115.9,N,0
59.5662,-109.9599,352.5,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,274.7,91.2,N,0
59.5615,-109.877,319.1,1.3,1.1,2011-06-16,0427,Terra,MODIS,29,6.2,279.7,17.1,N,0
59.5708,-109.8842,353.4,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,287.4,92.6,N,0
59.5145,-109.8405,312.5,1.3,1.1,2011-06-16,0427,Terra,MODIS,50,6.2,269.6,15.7,N,0
59.5104,-109.8614,362.6,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,275.7,131.4,N,0
59.5062,-109.8822,369.9,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,278.1,162.3,N,0
59.502,-109.903,398.7,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,283.7,345.7,N,0
59.5882,-109.9044,303.7,1.3,1.1,2011-06-16,0427,Terra,MODIS,43,6.2,272.9,10.2,N,0
59.4936,-109.9445,317.8,1.3,1.1,2011-06-16,0427,Terra,MODIS,71,6.2,269.1,21.8,N,0
59.5667,-109.9052,324.4,1.3,1.1,2011-06-16,0427,Terra,MODIS,0,6.2,280.2,26.2,N,0
59.5625,-109.9264,384.3,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,282.7,237.6,N,0
59.5583,-109.9473,406.4,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,283.4,411.9,N,0
59.5568,-109.9527,372.9,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,277.8,173.5,N,0
59.5737,-109.869,326,1.3,1.1,2011-06-16,0427,Terra,MODIS,55,6.2,281,29.9,N,0
59.5695,-109.8898,342,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,284.9,62.1,N,0
59.561,-109.9319,390.9,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,285.6,280.3,N,0
59.5072,-109.9309,438.2,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,290.7,805.3,N,0
59.5831,-109.8763,341.1,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,279.4,63.6,N,0
59.5967,-109.8626,323.7,1.3,1.1,2011-06-16,0427,Terra,MODIS,96,6.2,278.5,31.7,N,0
59.5925,-109.8835,332.1,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,276.4,45.5,N,0
59.5114,-109.9103,370.8,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,277.9,165.7,N,0
59.5155,-109.8896,334.5,1.3,1.1,2011-06-16,0427,Terra,MODIS,100,6.2,272.9,45.7,N,0
59.4946,-109.9465,323.6,3.7,1.8,2011-06-16,0606,Terra,MODIS,94,6.2,270.5,162.3,N,0
59.5552,-109.9766,303.7,1.1,1.1,2011-06-16,1008,Aqua,MODIS,57,6.2,267.7,12.5,N,0
59.55,-110.0254,301.6,1,1,2011-06-18,0956,Aqua,MODIS,38,6.2,276.1,7.8,N,0
60.0386,-109.8462,374.9,1.5,1.2,2011-06-18,1921,Terra,MODIS,0,6.2,278.8,236.2,D,0
59.6128,-109.8814,363.5,1.3,1.1,2011-06-18,1933,Aqua,MODIS,64,6.2,274.5,125.1,D,0
59.6034,-109.8743,324.1,1.3,1.1,2011-06-18,1933,Aqua,MODIS,41,6.2,271.4,27,D,0
59.5941,-109.8668,361.9,1.3,1.1,2011-06-18,1933,Aqua,MODIS,66,6.2,277.1,119.1,D,0
59.5982,-109.846,361.3,1.3,1.1,2011-06-18,1933,Aqua,MODIS,0,6.2,273.4,115.9,D,0
59.617,-109.8607,404.7,1.3,1.1,2011-06-18,1933,Aqua,MODIS,87,6.2,280.2,389.5,D,0
59.612,-110.0613,314.7,1,1,2011-06-19,0458,Terra,MODIS,90,6.2,285.4,14.9,N,0
59.5823,-110.0764,322.7,1,1,2011-06-19,0458,Terra,MODIS,100,6.2,288,20.8,N,0
59.5871,-110.0415,333.4,1,1,2011-06-19,0458,Terra,MODIS,100,6.2,285.9,34.6,N,0
59.5014,-109.9153,313,1,1,2011-06-19,0458,Terra,MODIS,51,6.2,283.8,12.5,N,0
59.5695,-110.0322,318.9,1,1,2011-06-19,0458,Terra,MODIS,65,6.2,288.2,16.5,N,0
59.5719,-110.0147,310.7,1,1,2011-06-19,0458,Terra,MODIS,41,6.2,285.5,10.6,N,0
59.5885,-109.8923,317.5,1,1,2011-06-19,0458,Terra,MODIS,42,6.2,286.5,15.8,N,0
59.5861,-109.9098,317.2,1,1,2011-06-19,0458,Terra,MODIS,46,6.2,285.8,15.5,N,0
59.602,-109.862,319.5,1,1,2011-06-19,0458,Terra,MODIS,64,6.2,289.7,17.8,N,0
59.5973,-109.897,341.6,1,1,2011-06-19,0458,Terra,MODIS,100,6.2,287.7,46.7,N,0
59.5949,-109.9145,326.7,1,1,2011-06-19,0458,Terra,MODIS,100,6.2,287.5,25.2,N,0
59.6108,-109.8666,333.2,1,1,2011-06-19,0458,Terra,MODIS,83,6.2,290.2,30.9,N,0
