latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
59.2894,-112.1053,306.8,1.2,1.1,2019-05-20,0523,Terra,MODIS,69,6.3,278.1,14.4,N,0
59.2802,-112.1139,309.9,1,1,2019-05-20,1851,Terra,MODIS,42,6.3,297.6,5.6,D,0
59.2865,-112.0921,321,1,1,2019-05-20,1851,Terra,MODIS,77,6.3,303.7,15.6,D,0
59.2889,-112.1092,326.3,1,1,2019-05-20,1851,Terra,MODIS,82,6.3,300,21.1,D,0
59.2777,-112.0968,325.4,1,1,2019-05-20,1851,Terra,MODIS,81,6.3,299,19.7,D,0
59.2966,-112.0991,354.5,1,1,2019-05-20,1851,Terra,MODIS,97,6.3,303.3,67.6,D,0
59.2782,-112.1011,307.2,2.8,1.6,2019-05-20,1903,Aqua,MODIS,34,6.3,296.6,21.2,D,0
59.2907,-112.1154,312.8,2.8,1.6,2019-05-20,1903,Aqua,MODIS,67,6.3,294.9,40,D,0
59.2799,-112.1111,312.8,2.8,1.6,2019-05-20,1903,Aqua,MODIS,71,6.3,296.4,40,D,0
59.2918,-112.1138,387.7,1.5,1.2,2019-05-20,2041,Aqua,MODIS,100,6.3,307.5,333.1,D,0
59.2939,-112.0874,325.9,1.5,1.2,2019-05-20,2041,Aqua,MODIS,82,6.3,302.7,33.2,D,0
59.2809,-112.1105,375.1,1.5,1.2,2019-05-20,2041,Aqua,MODIS,100,6.3,307,236.5,D,0
59.283,-112.084,326.3,1.5,1.2,2019-05-20,2041,Aqua,MODIS,82,6.3,303.7,34.5,D,0
59.287,-112.1104,303.8,1.5,1.2,2019-05-21,0428,Terra,MODIS,53,6.3,278.5,15.5,N,0
59.297,-112.119,301.5,1.5,1.2,2019-05-21,0428,Terra,MODIS,32,6.3,279.9,13.1,N,0
59.3142,-112.1382,325.3,2.7,1.6,2019-05-21,1756,Terra,MODIS,78,6.3,292.4,80,D,0
59.317,-112.1303,323.2,2.7,1.6,2019-05-21,1756,Terra,MODIS,69,6.3,291.8,69,D,0
59.3028,-112.132,324.1,2.7,1.6,2019-05-21,1756,Terra,MODIS,65,6.3,294.1,70.6,D,0
59.3013,-112.0844,331.6,2.7,1.6,2019-05-21,1756,Terra,MODIS,76,6.3,297,107.1,D,0
59.3125,-112.0908,348.4,2.7,1.6,2019-05-21,1756,Terra,MODIS,83,6.3,295.6,227.9,D,0
59.2983,-112.0924,316,2.7,1.6,2019-05-21,1756,Terra,MODIS,74,6.3,297,42.2,D,0
59.2868,-112.1042,328.7,1.7,1.3,2019-05-21,1934,Terra,MODIS,78,6.3,290.5,49.5,D,0
59.3035,-112.1216,321.1,1.7,1.3,2019-05-21,1934,Terra,MODIS,71,6.3,287.9,32.2,D,0
59.3139,-112.1122,325,1.7,1.3,2019-05-21,1934,Terra,MODIS,53,6.3,288.6,38.8,D,0
59.309,-112.1069,339.3,1.2,1.1,2019-05-21,1946,Aqua,MODIS,91,6.3,291.3,50.4,D,0
59.2998,-112.1,331,1.2,1.1,2019-05-21,1946,Aqua,MODIS,86,6.3,292.6,33.7,D,0
59.2959,-112.1199,327.1,1.2,1.1,2019-05-21,1946,Aqua,MODIS,83,6.3,291.3,27.9,D,0
59.2867,-112.113,342,1.2,1.1,2019-05-21,1946,Aqua,MODIS,92,6.3,294.9,56.6,D,0
59.3052,-112.1268,325.7,1.2,1.1,2019-05-21,1946,Aqua,MODIS,82,6.3,290.4,26.4,D,0
59.2923,-112.2164,376,4.6,2,2019-05-22,0334,Terra,MODIS,100,6.3,278.5,1247.2,N,0
59.3061,-112.2427,336.9,4.6,2,2019-05-22,0334,Terra,MODIS,100,6.3,272,370.4,N,0
59.3059,-112.2464,325.9,4.6,2,2019-05-22,0334,Terra,MODIS,100,6.3,271.6,237.4,N,0
59.3015,-112.1368,311.3,4.5,2,2019-05-22,0334,Terra,MODIS,62,6.3,273.1,117.1,N,0
59.3018,-112.1306,306.9,4.5,2,2019-05-22,0334,Terra,MODIS,46,6.3,273,93.5,N,0
59.3159,-112.1571,361.8,4.5,2,2019-05-22,0334,Terra,MODIS,100,6.3,277.6,829.5,N,0
59.2918,-112.2223,377,4.6,2,2019-05-22,0334,Terra,MODIS,100,6.3,278.1,1288.9,N,0
59.3161,-112.1509,357.6,4.5,2,2019-05-22,0334,Terra,MODIS,100,6.3,277.3,720.9,N,0
59.3005,-112.2383,345.2,1,1,2019-05-22,0511,Terra,MODIS,100,6.3,279.4,56.4,N,0
59.3117,-112.2251,307.7,1,1,2019-05-22,0511,Terra,MODIS,36,6.3,275.5,10.4,N,0
59.3094,-112.2427,312.8,1,1,2019-05-22,0511,Terra,MODIS,86,6.3,274.8,14.8,N,0
59.3071,-112.2604,305.8,1,1,2019-05-22,0511,Terra,MODIS,33,6.3,273.3,9.7,N,0
59.3074,-112.1852,327.8,1,1,2019-05-22,0511,Terra,MODIS,86,6.3,280.2,27.7,N,0
59.2875,-112.1187,302.1,1,1,2019-05-22,0511,Terra,MODIS,33,6.3,274.9,7.8,N,0
59.2964,-112.1232,315.3,1,1,2019-05-22,0511,Terra,MODIS,38,6.3,277.3,15.8,N,0
